@type,@id,@lat,@lon,name,name:hu,alt_name,alt_name:hu,old_name,old_name:hu,url:miserend
node,264989136,45.6442598,25.5915883,Biserica Sfântul Ioan,Keresztelő Szent János-templom,,,,,https://miserend.hu/templom/3178
node,269209046,48.2075963,16.3733991,Deutschordenskirche St. Elisabeth,Krisztus Feltámadása,,,,,http://miserend.hu/?templom=2687
node,296536748,47.5701081,25.1250469,Biserica Catolică,Szent Lajos hitvalló templom,,,,,https://miserend.hu/templom/3421
node,309999879,46.1740533,18.4671127,Szent György kápolna,,,,,,http://miserend.hu/?templom=5249
node,359088078,45.7523424,22.8985700,Biserica Romano-Catolică,Nagyboldogasszony-templom,,,,,http://miserend.hu/?templom=3134
node,506504802,47.0600859,21.9315468,Biserica Mănăstirii Premonstratense Maica Îndurerată,Fájdalmas anya templom,,Premontrei templom,,,https://miserend.hu/templom/3684
node,522147985,47.7926817,22.8887129,Biserica Sf.Iosif,Szent József-templom,,,,,http://miserend.hu/templom/4536
node,534110028,45.5607876,25.3257790,Biserica Sfântul Anton de Padova,Páduai Szent Antal templom,,,,,https://miserend.hu/templom/3342
node,703829100,47.0577192,21.9323101,Biserica Sfânta Ana (Mănăstirea Ursulinelor),Szent Anna templom,,,,,https://miserend.hu/templom/3686
node,1153820347,47.8765267,17.2694990,Szent Rozália kápolna,,Menházi kápolna,,,,https://miserend.hu/templom/5159
node,1248722774,45.8644807,25.8098051,Biserica Catolică,Szent Benedek templom,,,,,https://miserend.hu/templom/3294
node,1328540959,48.1616536,20.8475417,Szentlélek-templom,,,,,,http://miserend.hu/?templom=3746
node,1379836554,48.0560032,20.7575193,Jézus Szíve kápolna,,Miskolc-Tapolcai Sziklakápolna,,,,http://miserend.hu/?templom=3497
node,1397555236,48.5421086,20.6392337,Derenki kápolna,,,,,,https://miserend.hu/templom/5353
node,1518484191,47.5158855,19.0492624,Szent Ágoston-kápolna,,,,,,http://miserend.hu/?templom=3670
node,1778887752,46.6367527,16.8415164,Nagyboldogasszony-templom,,,,,,http://miserend.hu/?templom=2533
node,1830284026,47.1444566,22.5177723,Biserica Romano-Catolică Șinteu,Szent Cirill és Metód templom,,,,,https://miserend.hu/templom/4765
node,1843112852,47.2990025,22.6944476,Biserica Catolică,Szent Kereszt felmagasztalása templom,,,,,https://miserend.hu/templom/4823
node,1845935526,47.2481845,22.6419233,Biserica Catolică,,,,,,https://miserend.hu/templom/4824
node,1850387372,47.7482991,23.2839723,Biserica Romano-Catolică,Szeplőtelen Fogantatás templom,,,,,https://miserend.hu/templom/4679
node,1852022968,47.0323922,23.6803365,Biserica Catolică Cornești,Nagyboldogasszony templom,,,,,https://miserend.hu/templom/3404
node,1880814811,47.1313565,24.4926522,Biserica Romano-Catolică „Sf. Treime”,,,,,,https://miserend.hu/templom/3412
node,1883120399,47.6753380,22.6571525,Biserica Romano-Catolică,Nagyboldogasszony templom,,,,,https://miserend.hu/templom/4279
node,1919044148,47.9018180,23.1260203,Biserica Romano-Catolică,Sarlós Boldogasszony-templom,,,,,http://miserend.hu/templom/4614
node,1925671925,47.8145062,23.1554680,Biserica Romano-Catolică,Szent István király templom,,,,,https://miserend.hu/templom/4609
node,1938472044,47.9000127,22.9501172,Biserica Romano-Catolică,Szűz Mária Királynő templom,,,,,https://miserend.hu/templom/4564
node,1943076448,47.8157335,22.7404419,Biserică Romano-Catolică,Nagyboldogasszony templom,,,,,https://miserend.hu/templom/4568
node,1957265019,47.3973099,22.4038386,Biserica Romano-Catolică,Szent Tibor és Szent Zsuzsanna templom,,,,,https://miserend.hu/templom/4778
node,1960848806,45.9579664,23.5728511,Biserica romano-catolică Sf. Bartolomeu,Szent Bertalan apostol-templom,,,,,https://miserend.hu/templom/3062
node,1965178159,47.4652755,22.8358460,Biserica Romano-Catolică,Szentháromság templom,,,,,https://miserend.hu/templom/4618
node,1979759869,47.6865742,22.5998414,Biserica Romano-Catolică,Nepomuki Szent János-templom,,,,,https://miserend.hu/templom/4666
node,1979807981,47.7119514,22.5027833,Páduai Szent Antal templom,,,,,,https://miserend.hu/templom/3559
node,1979833800,47.7361466,22.4003781,Biserica Romano-Catolică Urziceni,Szent Kereszt megtalálása templom,,,,,https://miserend.hu/templom/4638
node,1986760262,47.5138067,22.1297565,Biserica Romano-Catolică (Páduai Szent Antal Római katólikus templom),Páduai Szent Antal Római katólikus templom,,,,,https://miserend.hu/?templom=4786
node,1986842917,47.4255879,22.1210281,Biserica Romano-Catolică,Szent Anna-templom,,,,,https://miserend.hu/?templom=4785
node,1986901206,47.3520184,22.1016035,Biserica Romano-Catolică,Szeplőtelen Fogantatás templom,,,,,https://miserend.hu/templom/4788
node,1992977715,47.2593311,22.1332750,Biserica Romano-Catolică,Kisboldogasszony templom,,,,,https://miserend.hu/templom/4779
node,1997705392,47.1570693,22.0326299,Biserica Romano-Catolică,Szent József-templom,,,,,https://miserend.hu/templom/4851
node,2001715472,47.1034188,21.9003973,Biserica Catolică Episcopia Bihor,"Szent Lőrinc diakónus, vértanú templom",,Szent Lőrinc Biharpüspöki római katolikus templom,,,https://miserend.hu/templom/3697
node,2011414374,47.0728056,21.9221787,Adormirea Maicii Domnului,Csodásérmű Boldogasszony templom,,,,,https://miserend.hu/templom/3694
node,2019571779,47.0040701,21.9770455,Biserica Romano-Catolică,Szent István első vértanú templom,,,,,https://miserend.hu/templom/4766
